"ID","Title"
"C1413","As a user, I want to verify that login is successful with a valid username and password on the Electron App"
"C1414","As a Cashier, I want to be restricted from logging in with invalid credentials so that unauthorized access is prevented"
"C1415","As a Cashier, I want to log out of the application so that I can securely end my session"
"C1417","As a user, I want to add a new item so that it becomes available in the Application from the Admin"
"C1419","As a Cashier, I want to complete a sale with split payment so that customers can pay using multiple tenders in a single transaction"
"C1420","As an User, I want to delete an existing item so that I can manage the item list efficiently"
"C1422","As a User, I want to add a new supplier so that I can manage supplier information in the Admin"
"C1423","As a Cashier, I want to suspend a sale in the POS so that I can clear the sale from the register without losing the order"
"C1424","As a Cashier, I want to recall the items from an order status so that I can complete the sale transaction"
"C1425","As a Cashier, I want to verify suspended order sales in the Sales tab so that I can track them and perform a recall in the future"
"C1426","As a Cashier, I want to be able to remove a suspended sale in case I no longer need to complete the sale"
"C1427","As a Cashier, I want to print receipts for completed, refunded, or cancelled transactions so that I can provide accurate status to customers"
"C1428","As a Cashier, I want to verify that the Day Report can be viewed and printed for a selected date range in the POS so that I can review and provide accurate daily sales report"
"C1429","As a Cashier, I want to verify that the register report can be displayed and printed so that I can review and provide an accurate transaction summary"
"C1430","As a Cashier, I want to verify that the Seller Report can be displayed so that I can cross-check the sellers' takings"
"C1431","As a Cashier, I want to verify that the What's Selling Report can be displayed so that I can cross-check the items sale data"
"C1432","As a Cashier, I want to verify that the Takings Count Report can be displayed so that I can cross-check the Payment type data"
"C1433","As a Cashier, I want to search for an item using its exact or similar name so that I can easily add the line item to the Register Item table"
"C1434","As a Cashier, I want to scan items using their barcode so that I can quickly find and add them directly to the Register Item table"
"C1435","As a Cashier, I want to add the items from the shortcut menu in the POS so that I can quickly add them to the register item table."
"C1436","As a Cashier, I want to add a customer from the POS so that I can add customers directly from POS"
"C1438","As a Cashier, I want to redeem the loyalty points a customer has earned,so that the customer can receive rewards during the items purchase"
"C1439","As a Cashier,I want to enable loyalty points when a customer completes a transaction, so that the customer can earn loyalty points"
"C1440","As a Cashier, I want to ensure that loyalty points are deducted correctly when a sale is refunded, so that the loyalty points calculated correctly"
"C1441","As a Cashier, I want to be able to manually add an item from the POS, so that I can process custom or unlisted items during a sale"
"C1442","As a Cashier, I want to perform a payout in the POS,  so that I can handle expenses like food or purchases directly from the register drawer"
"C1443","As a Cashier, I want to be able to cancel a sale in the POS,  so that I can avoid any changes or mistakes during the transaction"
"C1444","As a Cashier,I want to be able to void a sale in the POS,so that I can manage sales in the POS"
"C1445","As a Cashier, I want to apply discounts on sales,  so that I can offer discounts to customers during checkout"
"C1595","As a user, I want to be able to log out from the back office , so that I can securely end my session and prevent unauthorized access"
